distance(Å-1)	fre/THz	gvx(m/s)	gvy(m/s)	gvz(m/s)	gv(m/s)	band
0.0700396	0.2881665523	457.13996000000003	909.8044	1250.94104	1612.9396996925966	1.0
0.0709151	0.2748374672	456.46395	929.2692999999999	1266.52189	1635.841822249714	1.0
0.0717906	0.2613531852	455.87730999999997	947.97919	1281.57492	1657.9876181741824	1.0
0.0726661	0.247719196	455.37724	965.89764	1296.06142	1679.3158982395194	1.0
0.0735416	0.2339413662	454.95992	982.9898000000001	1309.94393	1699.7678004522534	1.0
0.0744171	0.220025931	454.62062000000003	999.2223299999999	1323.18626	1719.2867857203464	1.0
0.0752926	0.2059794844	454.35378999999995	1014.56355	1335.75362	1737.818833140863	1.0
0.076168	0.1918089681	454.1531	1028.9834	1347.61267	1755.3124462783537	1.0
0.0770435	0.1775216598	454.01163	1042.4535600000002	1358.73162	1771.7188264845397	1.0
0.077919	0.1631251597	453.92191	1054.9474699999998	1369.0803799999999	1786.9919842401064	1.0
0.0787945	0.1486273753	453.87613	1066.4404	1378.63059	1801.088829519434	1.0
0.07967	0.1340365054	453.86627	1076.9095200000002	1387.35579	1813.9693474138057	1.0
0.0805455	0.1193610213	453.88431	1086.33395	1395.23154	1825.5967429850302	1.0
0.081421	0.1046096469	453.92234	1094.6948300000001	1402.23549	1835.9375346114978	1.0
0.0822965	0.089791337	453.97282	1101.97538	1408.34759	1844.961786510416	1.0
0.083172	0.074915253	454.02873	1108.16094	1413.55014	1852.6431806748747	1.0
0.0840475	0.0599907378	454.08378000000005	1113.23902	1417.82794	1858.9591879205666	1.0
0.084923	0.0450272883	454.13254	1117.19936	1421.1683799999998	1863.8911819586156	1.0
0.0857985	0.0300345266	454.17061	1120.03392	1423.56155	1867.4245397275736	1.0
0.086674	0.0150221701	454.19476999999995	1121.7369700000002	1425.0003299999998	1869.5487849907106	1.0
0.0875495	-7.51e-08	0.0	0.0	0.0	0.0	1.0
0.0875495	-7.51e-08	0.0	0.0	0.0	0.0	1.0
0.0882666	0.0182964616	2375.41035	368.44431000000003	1324.37051	2744.5004624186454	1.0
0.0889837	0.0365890767	2374.4904500000002	368.81604	1323.67577	2743.4189823261736	1.0
